date,umrah
1437-01,728006
1437-02,570709
1437-03,448998
1437-04,284974
1437-05,274142
1437-06,232744
1437-07,543712
1437-08,589203
1437-09,3859833
1437-10,459009
1437-11,286709
1437-12,178184
1438-01,4064
1438-02,316718
1438-03,830199
1438-04,756652
1438-05,768262
1438-06,818167
1438-07,1185195
1438-08,896068
1438-09,946265
1438-10,10484
1438-11,0
1438-12,0
1439-01,61458
1439-02,492964
1439-03,792705
1439-04,827398
1439-05,780986
1439-06,814055
1439-07,1069307
1439-08,880525
1439-09,1002017
1439-10,44193
1439-11,6
1439-12,0
1440-01,432360
1440-02,389285
1440-03,400682
1440-04,305803
1440-05,384170
1440-06,295544
1440-07,753448
1440-08,666816
1440-09,6797936
1440-10,652855
1440-11,410451
1440-12,211018
1441-01,126117
1441-02,467325
1441-03,639855
1441-04,843569
1441-05,827049
1441-06,860467
1441-07,83643
1441-08,0
1441-09,0
1441-10,0
1441-11,0
1441-12,0
1442-01,0
1442-02,83443
1442-03,494253
1442-04,573758
1442-05,574833
1442-06,595968
1442-07,578226
1442-08,691089
1442-09,1470697
1442-10,568681
1442-11,479911
1442-12,375951
1443-01,271594
1443-02,442449
1443-03,710564
1443-04,1397323
1443-05,512365
1443-06,205729
1443-07,133909
1443-08,592285
1443-09,868803
1443-10,1010224
1443-11,1015395
1443-12,1211789
1444-01,1213628
1444-02,1314835
1444-03,1769360
1444-04,1542965
1444-05,693330
1444-06,237717
1444-07,384215
1444-08,1045199
1444-09,1162962
1444-10,1320508
1444-11,1360941
1444-12,1504933
